position;tag;type;Valeur_numérique;Unite;Date;identi;dim;form 
1;Name of reporting entity or other means of identification;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
2;Domicile of entity;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
3;Description of nature of entitys operations and principal activities;IFRS;0;nn;2019-12-31;506700GE1G29325QX363;nn;nn
4;Licence fee income;IFRS;14516715.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
5;Licence fee income;IFRS;17555899.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
6;Wages and salaries;IFRS;4616880.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
7;Wages and salaries;IFRS;4288884.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
8;Social contributions and expenses for pensions and care;Custom;543684.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
9;Social contributions and expenses for pensions and care;Custom;618341.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
10;Employee benefits expense;IFRS;5160564.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
11;Employee benefits expense;IFRS;4907225.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
12;Other expense by nature;IFRS;5561990.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
13;Other expense by nature;IFRS;4054185.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
14;Other income;IFRS;181344.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
15;Other income;IFRS;384703.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
16;Depreciation and amortisation expense;IFRS;873846.0;iso4217:USD;2019-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
17;Depreciation and amortisation expense;IFRS;344735.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:num-dot-decimal
