position;tag;type;Valeur_numérique;Unite;Date;identi;dim;form 
1;Licence fee income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
2;Licence fee income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
3;Wages and salaries;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
4;Wages and salaries;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
5;Social contributions and expenses for pensions and care;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
6;Social contributions and expenses for pensions and care;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
7;Employee benefits expense;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
8;Employee benefits expense;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
9;Other expense by nature;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
10;Other expense by nature;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
11;Other income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
12;Other income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
13;Depreciation and amortisation expense;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
14;Depreciation and amortisation expense;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
15;Profit loss from operating activities;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
16;Profit loss from operating activities;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
17;Revenue from government grants;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
18;Revenue from government grants;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
19;Finance income cost;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
20;Finance income cost;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
21;Profit loss;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
22;Profit loss;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
23;Other comprehensive income net of tax gains losses on remeasurements of defined benefit plans;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
24;Other comprehensive income net of tax gains losses on remeasurements of defined benefit plans;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
25;Other comprehensive income that will not be reclassified to profit or loss net of tax;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
26;Other comprehensive income that will not be reclassified to profit or loss net of tax;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
27;Other comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
28;Other comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
29;Comprehensive income;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
30;Comprehensive income;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
31;Current trade receivables;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
32;Current trade receivables;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
33;Other current financial assets;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
34;Other current financial assets;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
35;Other current assets;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
36;Other current assets;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
37;Cash and cash equivalents;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
38;Cash and cash equivalents;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
39;Current assets;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
40;Current assets;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
41;Intangible assets other than goodwill;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
42;Intangible assets other than goodwill;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
43;Property plant and equipment;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
44;Property plant and equipment;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
45;Noncurrent financial assets;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
46;Noncurrent financial assets;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
47;Noncurrent assets;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
48;Noncurrent assets;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
49;Assets;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
50;Assets;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
51;Trade and other current payables to trade suppliers;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
52;Trade and other current payables to trade suppliers;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
53;Liabilities due to board directors;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
54;Liabilities due to board directors;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
55;Deferred income classified as current;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
56;Deferred income classified as current;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
57;Other current financial liabilities;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
58;Other current financial liabilities;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
59;Other current payables;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
60;Other current payables;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
61;Current liabilities;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
62;Current liabilities;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
63;Noncurrent recognised liabilities defined benefit plan;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
64;Noncurrent recognised liabilities defined benefit plan;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
65;Noncurrent payables to trade suppliers;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
66;Noncurrent payables to trade suppliers;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
67;Other noncurrent financial liabilities;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
68;Other noncurrent financial liabilities;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
69;Noncurrent government grants;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
70;Noncurrent government grants;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
71;Noncurrent liabilities;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
72;Noncurrent liabilities;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
73;Issued capital;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
74;Issued capital;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
75;Other reserves;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
76;Other reserves;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
77;Retained earnings;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
78;Retained earnings;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
79;Equity;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
80;Equity;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
81;Equity and liabilities;Custom;0.0;iso4217:USD;2018-12-31;nn;nn;ixt:numdotdecimal
82;Equity and liabilities;Custom;0.0;iso4217:USD;2017-12-31;nn;nn;ixt:numdotdecimal
83;Profit loss;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
84;Profit loss;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
85;Adjustments for depreciation and amortisation expense;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
86;Adjustments for depreciation and amortisation expense;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
87;Adjustments for provisions;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
88;Adjustments for provisions;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
89;Adjustments for losses gains on disposal of noncurrent assets;Custom;0.0;iso4217:USD;2018-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
90;Adjustments for losses gains on disposal of noncurrent assets;Custom;0.0;iso4217:USD;2017-12-31;506700GE1G29325QX363;nn;ixt:numdotdecimal
